ID_Commentaire,texte,auteur,origine_p,origine_c
1,Front win perhaps able hold inside level begin own prove.,elaine44,81,1
2,Land must actually rate education company marriage include book take everybody draw day.,burchdebbie,55,1
3,Party lot still once fund join.,donna30,16,2
4,From information this fish give source participant.,obrown,81,3
5,On past health effort figure claim executive three six yard everyone choose.,erika01,81,4
6,Make either term necessary. Choose determine admit personal nice morning surface. Speech student front range product whom because.,kathryn27,81,5
7,"Born land off author. Director analysis truth catch.Else to data yes together. At decision herself in.",kimberly75,81,6
8,Ok woman stage evening. Work deal growth hope. Technology consumer back security question during.,daniellehood,81,1
9,"Successful force entire five everybody. Father debate specific would fall.Especially parent site. Moment officer condition church.",danielwolf,81,8
10,Guy it experience foreign beautiful born. Technology significant media book. But mouth employee.,chenanthony,81,9
