titre,ID_Realisateur,nb_Oscars,nb_Entrees,annee,genre
Billion enough,77,6,342849,1971,Action
Give significant leave,63,6,483678,2011,Aventure
increase,80,10,916585,1902,Animation
produce,61,10,290757,1952,Biographie
Future find,47,1,77800,1942,Crime
society,46,2,67283,1962,Fantaisie
White name,65,1,561645,1992,Familial
phone,81,5,164725,1924,Horreur
Them what pretty,12,5,864870,1985,Animation
last,28,6,688095,1999,Drame
Report,41,6,144937,1904,Familial
act,70,10,192168,1953,Western
Million next black,83,4,13337,1932,Guerre
leader,10,9,456749,1965,Guerre
garden,81,10,839626,1998,Romance
