ID_Publication,nom_Sujet,date_h
72,game,2024-04-16 06:04:03.586233
65,doctor,2023-08-23 18:44:35.194634
4,doctor,2023-05-10 19:54:16.505221
31,series,2024-01-22 21:22:51.060582
20,financial,2023-12-13 23:49:12.394903
26,treatment,2023-10-19 02:26:32.960059
31,safe,2024-01-14 19:32:05.712617
60,billion,2023-08-11 16:18:11.425426
83,series,2023-12-30 07:28:04.665023
57,similar,2024-03-10 10:26:50.304236
35,artist,2023-12-07 01:40:19.873235
25,window,2023-06-18 01:05:01.850419
22,small,2023-08-03 16:35:34.994239
90,reflect,2023-07-21 16:11:52.492361
7,strategy,2023-10-10 21:43:06.784510
75,American,2023-11-01 16:08:43.625860
14,animal,2023-09-14 01:30:04.553113
27,treat,2024-02-22 01:14:45.976379
2,employee,2023-05-16 16:04:55.495867
94,defense,2023-11-21 02:33:05.056118
9,defense,2024-01-05 17:23:07.027413
87,wrong,2023-09-23 17:17:02.899183
16,wear,2023-10-11 22:30:18.212192
42,present,2023-11-11 07:24:07.317510
71,leader,2024-03-18 23:28:57.204475
14,garden,2024-03-05 20:53:23.847821
35,early,2024-03-10 06:18:42.439321
64,decision,2023-07-21 16:30:24.689788
