ID_Publication,texte,date_p,auteur,categorie
66,Traditional manager close risk pay usually rate.,2023-09-08 00:13:35.462586,markestes,operation
98,Truth cause tell assume drug ability ahead on father add role yet.,2024-04-20 11:11:15.713563,zachary88,none
14,Your about part thank career moment together ask table authority consumer watch.,2023-10-22 01:05:37.193768,fsherman,say
94,Either instead hour future one claim brother.,2024-01-12 07:59:17.837771,joycejohn,character
48,Turn pay half site century during far.,2024-03-09 02:31:57.843324,wrightjason,whose
36,Surface serve hard seek reduce various increase blood response.,2023-05-16 21:25:55.045897,stephenhouse,experience
42,Stuff involve add hot give report employee way skin another rise.,2024-04-02 00:46:14.500311,george69,against
32,Kitchen southern society heart author character most next improve expect deep.,2023-05-27 13:11:36.251196,keith63,buy
33,Degree simply third book color owner interest begin tax your teacher.,2024-04-12 02:22:50.935694,uhorne,data
55,Class institution grow former receive window finally certain management outside article.,2024-02-06 08:48:45.734591,ashley73,value
83,Heavy husband significant international home reason student later wide.,2023-05-28 03:10:58.587242,tammy51,true
56,Sit city start clear compare letter shake one.,2024-02-05 05:17:07.948578,vbenitez,represent
8,Factor nation interesting so though law dog read final little.,2023-12-30 10:29:57.319796,zpayne,food
30,Team air enough high public wide rather truth thousand.,2024-02-26 05:59:46.417848,kristin71,unit
1,Republican image effect in husband risk successful light.,2023-11-15 11:22:19.922851,kendra72,billion
7,Movie what attorney use feeling quality.,2024-05-05 12:44:47.066138,alejandro49,almost
77,Head give per seat best itself human majority into century maintain sing social exist.,2024-01-01 13:10:07.536677,hmcdonald,a
92,Modern success into major hard event player be.,2023-11-02 17:27:57.096442,robinmiranda,case
90,This officer control discuss college large consumer small.,2023-10-02 12:03:18.429973,tdavis,rather
62,Our world peace suffer body little her wish.,2023-08-19 18:10:08.375080,jonesricardo,catch
70,Door fish million report music then.,2023-10-10 22:47:18.587349,calderoneugene,develop
47,On treatment year student something on manager after.,2023-12-04 19:52:49.463929,scott90,mean
26,Music through network home offer difference ago own sport actually.,2023-11-05 14:28:12.555051,pmclaughlin,service
28,Situation finally you road rock indicate message.,2024-01-22 07:54:25.763628,christopherwarner,story
75,Hotel culture stage night central box indeed indicate power once security they stop.,2023-11-14 02:09:49.994745,kimberly75,recognize
97,Magazine would prove agreement popular could three big.,2023-05-24 23:22:47.162586,erika01,little
99,Bill yes standard newspaper young view woman especially political occur.,2023-06-26 15:26:46.817504,bgonzalez,hand
79,Maybe four pull discuss body interview adult.,2024-01-20 09:00:01.669139,katelyn27,can
85,Line charge push benefit story glass rate particularly official avoid leg.,2023-07-20 13:32:56.426796,andersonmichelle,last
20,Form right own notice I degree right huge interest brother.,2023-09-22 13:07:00.638964,rmccoy,along
60,School or talk forward often white.,2023-10-20 08:36:51.878566,woodarderic,move
84,Station with prevent sport entire own so four all hope next stock.,2023-10-07 12:10:37.088382,zholland,end
10,Chance government page again without tonight night role little sure trial such.,2023-07-05 18:11:04.978742,michaela66,career
2,Walk could piece nature responsibility ability receive population week.,2023-07-14 21:29:51.645250,martinjensen,bring
52,Deal listen although rich happen country positive popular up imagine success watch open.,2023-10-19 01:28:01.463426,obrown,community
59,Line also cell tax word local finish customer land bit.,2023-09-19 15:08:14.561314,josephharris,over
41,Room citizen method beat early resource allow.,2023-09-24 18:41:29.126027,travisfranco,begin
22,Structure north next herself campaign along world.,2023-08-21 08:15:20.051361,xwilliams,these
57,Tree skin feel ready new under chair what go view south town.,2024-04-12 17:37:31.956393,pattersonkathryn,me
69,Director clearly college peace fish but.,2023-12-11 07:21:59.992360,harrisalex,challenge
81,Off fight make bar even ahead military feeling work marriage any discuss exactly.,2023-07-25 02:06:02.471499,vfrancis,place
73,Goal represent trial right in one.,2023-05-20 23:47:45.270484,francissteven,window
5,Draw training step past short mouth to face everyone past.,2024-01-09 23:36:42.856229,kellergary,single
34,Describe impact suggest then very card.,2023-05-15 20:21:48.167464,colin59,each
37,Clear realize expect traditional everyone individual should.,2023-07-21 01:32:10.786705,donna30,smile
31,Response college forward star stay three test vote real actually program professor hour.,2023-12-19 14:51:55.923108,chenanthony,wait
29,Mr herself him five maintain general low situation above.,2024-03-17 17:40:05.638620,hbrown,history
19,Onto that life nature reflect example since factor condition hair morning left.,2024-05-02 18:15:30.081627,vhughes,or
44,Live late explain citizen quality everyone no tonight information official black ready.,2024-02-28 08:03:06.461394,sydneylee,never
64,Win rule upon receive finish coach.,2023-11-14 08:52:58.051543,sergiodawson,house
39,Company serious hot five call even remember thousand building inside.,2023-05-13 01:33:20.938876,warecrystal,suddenly
23,Yes seat attention feeling run road similar how.,2023-10-28 06:38:58.538095,morganbonnie,game
63,Base subject meeting show ground sister on would provide guess design glass.,2024-04-27 05:35:21.394518,bsmith,cold
58,Order middle store treatment second American explain shake involve trial.,2024-01-25 20:30:05.933026,lindsay43,property
46,Defense eat rock kid then along people sort court series head.,2023-05-23 03:25:23.744225,russellrebecca,ready
49,Against apply reality herself analysis prove again decide yet.,2024-03-18 02:50:03.426948,daniellehood,which
78,Make local these local fire step thus.,2023-06-12 03:37:13.651920,mary75,deep
27,Next choice wrong bad none require drive out social sister step serve.,2023-05-28 18:56:50.597757,misty61,day
35,Choice question law would every white dream attack live on.,2024-02-15 06:08:54.878761,josephschultz,among
86,Case open or either minute least beat lawyer choose or act important wait.,2023-12-16 20:19:06.722984,oestes,rule
18,Tax old explain vote design hard imagine nearly option.,2023-08-11 09:54:15.905042,lawrence52,into
25,Ten table difference rather charge film knowledge to may who medical beautiful.,2023-12-26 06:16:53.211444,psmith,must
43,Participant play until skin service go idea.,2023-06-13 10:22:29.207382,gstewart,candidate
100,Senior miss item tell matter quite sign couple central win later sit run.,2023-10-03 03:35:51.804436,randolphmelanie,black
61,Increase whatever first real candidate individual.,2023-11-14 16:25:13.311540,elaine44,theory
54,Way couple offer piece scientist subject usually bed nature move tell close.,2024-01-29 22:11:27.706872,burchdebbie,special
93,Various investment next interesting determine speak.,2024-03-31 12:22:09.485674,vnguyen,point
6,Home could knowledge help level which ball but.,2023-05-18 17:03:13.419775,nicholasbryant,computer
45,Certainly nearly whose sing standard federal board can as southern.,2024-01-02 23:23:53.252823,spatel,forward
51,Behind avoid television piece reach yet.,2023-07-02 13:14:07.263324,danielwolf,contain
15,Writer gun former agree bill challenge side course next.,2024-05-04 07:01:53.221640,martinezjason,push
4,Avoid American job character partner either shake none finally program green.,2024-02-02 12:02:19.965151,christinabailey,middle
24,Tend Mrs actually pretty measure man join issue pattern worry young.,2023-11-11 16:19:25.826683,pricecheyenne,mother
88,College she on talk particularly particularly source those card leg ago side.,2023-08-28 08:24:50.158820,madisonadams,tough
80,Camera while matter society among notice one structure sort seek.,2024-03-07 14:48:09.424453,allenjenna,truth
96,Speech speech magazine want letter game program include college many.,2024-05-04 20:04:37.459498,norrishector,appear
9,Act floor financial generation part operation radio difficult heavy.,2023-10-04 18:43:19.352775,michael17,letter
40,Audience charge simply forget claim through discuss first event our possible prevent.,2024-01-14 05:39:14.487313,gcisneros,boy
76,Sound phone break when hour campaign owner all somebody evidence community.,2023-10-20 06:36:59.760464,msalazar,hotel
50,Floor push region history simply officer over Democrat public training ok plan.,2023-11-11 05:29:27.943204,lvincent,site
11,Important quite me choice manage red well.,2023-06-22 21:39:55.898586,coleelizabeth,positive
3,Describe president without single base commercial politics opportunity never throw that.,2023-05-12 09:49:21.129231,kathryn27,fill
67,Consumer popular particular company others reality question off bank participant yourself wonder.,2023-09-27 00:47:01.145769,whitakeradam,animal
17,Television notice contain affect bag see during ground day.,2024-03-25 16:38:13.825667,xpetersen,decade
91,Process pull use southern operation eat international crime arrive few visit.,2023-07-27 12:53:04.240897,scottjuan,often
87,Analysis into try necessary assume prove seek his training consider medical another can.,2023-11-23 06:12:17.020282,huffsteven,light
71,Stop possible month practice hour college ok.,2023-09-09 23:55:28.221506,ghoffman,go
72,Strategy amount marriage member avoid exist situation agency fear beat.,2024-02-22 08:11:23.830299,robertstracy,network
82,Analysis one cost future subject show Mrs sure century lose guy grow close.,2023-12-07 23:18:20.670485,haaskatie,sister
21,Arm none paper coach call hope development action say way describe financial their.,2024-02-22 18:42:10.467522,seanknight,require
16,Tv low consumer attorney something security claim hope never process allow environment when.,2023-07-04 06:32:49.910659,lsteele,should
68,Cell buy else court continue address use watch general.,2023-06-30 07:43:35.708594,vmontes,water
95,Eat crime my peace help appear image.,2023-08-24 03:31:48.446722,ksmith,president
53,Blue much matter view happy during should decision plan senior.,2024-02-19 12:23:34.525129,charles27,better
89,Miss professor per wonder care add dark nearly support.,2024-04-21 05:59:08.723287,spearson,fast
38,Product food according entire wait forward sign fear.,2023-06-09 07:25:28.659306,nicholastucker,feel
12,Challenge tend return take stuff case general simple story pass.,2023-12-20 10:19:25.868727,staceyrodriguez,three
74,Stay only exactly nearly protect focus specific something glass score force.,2023-08-12 20:18:20.929525,thomas76,through
65,Military receive Mr role school election.,2023-12-11 12:53:04.327421,mike52,my
101,Billion enough,2023-12-11 12:53:04.327421,colin59,Action
102,Give significant leave,2023-12-11 12:53:04.327421,george69,Action
