ID_Artiste,nom,sexe,nb_Oscars
0,Noah Padilla,feminine,19
1,Dr. Matthew Shannon,masculine,7
2,Robert Smith,feminine,17
3,Tommy Santos,feminine,25
4,Shane Kim,feminine,24
5,Cassandra Harris,masculine,8
6,Colleen Estrada,feminine,12
7,Kristin Hunt,feminine,12
8,Jared Nelson,feminine,2
9,David Flores,feminine,3
10,Jay Hopkins,masculine,14
11,Claire Mckay,feminine,15
12,Lisa Riley,feminine,3
13,Michael Ramsey,feminine,12
14,Veronica Mcgrath,masculine,10
15,Sarah Parker,feminine,7
16,William Watson,feminine,25
17,Steven Malone,masculine,27
18,Gregory Ramirez,masculine,26
19,Maria Morris,masculine,1
20,Paul Miller,masculine,15
21,Shawn Gutierrez,masculine,0
22,Robert Jordan,masculine,20
23,Joseph Hansen,feminine,17
24,Amy Lamb,masculine,24
25,Jeanne Smith,feminine,11
26,Robin Chan,feminine,18
27,Andrew Caldwell,feminine,0
28,Kenneth Leonard,masculine,14
29,Natasha Finley,feminine,1
30,James Alvarez,feminine,5
31,Donna Taylor,feminine,8
32,Cynthia Crawford,feminine,17
33,Kimberly Smith,masculine,14
34,Tracie Rogers,feminine,2
35,Mackenzie Bolton,feminine,29
36,Lindsey Green,masculine,11
37,Marc Smith,feminine,22
38,Joel Davis,masculine,22
39,Valerie Pineda,masculine,5
40,Aaron Wolfe,feminine,13
41,Jill Huang,feminine,23
42,Monica Clay,masculine,10
43,Lindsay Hughes,masculine,7
44,Anthony Scott,masculine,2
45,Tammy Wiggins,masculine,26
46,Chris Hooper,feminine,1
47,William Jones,masculine,11
48,Kathleen Ward,feminine,0
49,Jacqueline Wilson,masculine,5
50,Justin Meyer,feminine,28
51,Antonio Klein,masculine,10
52,Brian Garcia,feminine,15
53,Kimberly Gonzalez,feminine,12
54,Christopher Castaneda,masculine,7
55,Paul Jones,feminine,5
56,Gary Glover,masculine,12
57,Matthew Sandoval,feminine,3
58,Abigail Ray,feminine,2
59,Katherine Pittman,masculine,30
60,Heather Farley,feminine,18
61,Evan Jimenez,masculine,8
62,Karen Anderson,feminine,17
63,Monica Blake,masculine,8
64,Miguel Frazier,feminine,0
65,Julie Riddle,feminine,0
66,Cheryl Thomas,masculine,0
67,Sydney Smith,masculine,15
68,Joseph Ball,feminine,12
69,Courtney Alvarez,feminine,23
70,Lisa Fernandez,feminine,26
71,Susan Daugherty,masculine,23
72,Joseph Franklin,feminine,28
73,Jonathan Palmer,feminine,30
74,Evan Morse,feminine,2
75,Jessica Bryant,feminine,24
76,Brandon Medina,masculine,21
77,Dawn Morris,feminine,29
78,Michelle Owen,feminine,23
79,Bailey Reid,masculine,0
80,Jason Hayes,masculine,25
81,Valerie Hood,masculine,24
82,Eric Wood,masculine,30
83,Brett Copeland,feminine,6
84,Ryan Coleman,feminine,23
85,Aaron Bond,masculine,7
86,Tammy Stafford,feminine,22
87,Lori Young,feminine,25
88,Nicholas Rose,masculine,27
89,Dana Owens,masculine,2
90,Andrea Bass,masculine,6
91,Elizabeth Thomas,feminine,4
92,Amber Harris,feminine,28
93,Joshua Beltran,feminine,26
94,Erica Rosario,feminine,14
95,Courtney Perkins,feminine,30
96,Brian Nguyen,feminine,3
97,Emily Johnson,feminine,24
98,Gary Smith,masculine,1
99,Casey Reed,masculine,0
100,Jennifer Elliott,feminine,11
101,Andrew Davis,masculine,6
102,Kristopher Butler,masculine,30
103,Katherine Kent,masculine,7
104,Brandi Martinez,feminine,9
105,James Williams,feminine,23
106,Kristen Butler,masculine,20
107,Margaret Mayer,masculine,6
108,Matthew Young,feminine,7
109,Mary Harmon,masculine,7
110,Arthur Madden,feminine,21
111,Tami Gould,feminine,8
112,Holly Johnson MD,masculine,23
113,Denise Rogers,masculine,16
114,Cody Reynolds,masculine,14
115,Lawrence Higgins,feminine,4
116,Lisa Taylor,masculine,29
117,Felicia Fernandez,masculine,6
118,Gary Taylor,masculine,21
119,Deborah Walsh,feminine,25
120,David Montoya,masculine,1
121,Emily Randall,masculine,9
122,Jeremiah Jackson,masculine,24
123,Brandon Garcia,feminine,27
124,Michael Jensen,masculine,1
125,Bobby Booth,masculine,19
126,Timothy Benton,masculine,9
127,Ms. Jennifer Brooks,feminine,29
128,Jerome Oneal,feminine,20
129,Jonathan Williamson,feminine,13
130,Shannon Frost,feminine,8
131,Glenn Montoya,masculine,11
132,Candice Evans,masculine,18
133,Kellie Palmer,feminine,23
134,Jerome Holt,feminine,21
135,Jason Thomas,feminine,25
136,Tony Holmes,masculine,14
137,Amy Harper,feminine,11
138,Barbara Luna,feminine,12
139,Marie Cole,masculine,6
140,Dr. Kenneth Nguyen,feminine,16
141,Brandi King,feminine,24
142,Ryan Yoder,masculine,5
143,John Morton,feminine,21
144,Connor Keller III,feminine,16
145,Kristina Adams,masculine,10
146,Brenda Singh,masculine,26
147,Michael Craig,feminine,23
148,Matthew Walker,masculine,14
149,Courtney Taylor,masculine,15
150,Timothy Adams,masculine,6
151,Robin Garrett,masculine,29
152,Eric Wilson,masculine,26
153,Gabriella Beck,feminine,20
154,Timothy Hernandez,feminine,1
155,Samantha Pierce,feminine,0
156,Michele Thomas,masculine,4
157,Todd Alexander,masculine,4
158,Chelsea Anderson,masculine,25
159,Veronica Merritt,masculine,21
160,Elaine Andrews,feminine,9
161,Andre Lucas,feminine,30
162,Jill Jones,feminine,5
163,Raymond Wall,masculine,17
164,Peter Reese,masculine,19
165,Thomas Williams,masculine,29
166,Roger Price,feminine,18
167,Joseph Carter,feminine,3
168,Brandi Owen,feminine,4
169,Derrick Bartlett,feminine,10
170,Elijah Dunn,masculine,4
171,George Mills,masculine,29
172,Scott Olson,feminine,1
173,Johnathan Lewis,masculine,12
174,Michael Cox,masculine,10
175,Edward Hess,masculine,28
176,James Perkins,masculine,0
177,Stephanie Brown,masculine,3
178,Tyrone Berry,feminine,20
179,Elizabeth Ray,feminine,25
180,Jamie Cohen,masculine,1
181,Manuel Parrish,masculine,11
182,Kevin Martinez,feminine,16
183,Helen Munoz,masculine,15
184,Lisa Farrell,masculine,11
185,Christopher Gonzalez,masculine,23
186,Maurice Owens,feminine,20
187,Amanda Burke,feminine,16
188,Douglas Wells,feminine,14
189,Connie Lawson,feminine,17
190,Vincent Chung,feminine,6
191,Julia Jacobs,masculine,23
192,Pamela Cooper,masculine,9
193,Jason Lopez,feminine,13
194,Katrina Pollard,feminine,13
195,Karen Weber,feminine,1
