ID_Evenement,titre,lieu,date_e,prix,nbPlaces,annonce,organisateur
0,Husband economic.,Jasonside,2025-06-01 03:45:05.150905,93617.9,42815,321,2430
1,Myself building.,Collinston,2026-03-31 08:51:39.461257,98854.66,11336,102,3890
2,Page hard.,North Kim,2025-11-05 04:04:03.958735,67364.27,40718,476,3244
3,Consumer however style.,Glennbury,2025-12-21 22:27:36.084880,61741.86,63374,477,3762
4,Street space.,Meganland,2025-04-13 22:53:25.286797,28763.26,58067,32,2880
5,Generation position professor several.,Port Robertburgh,2024-10-05 11:51:43.040080,64260.47,11139,242,2194
6,Half allow.,South Angelaton,2024-10-12 02:03:00.907499,93815.11,80674,11,3134
7,Song white push person.,Lake Jameshaven,2026-01-11 10:08:17.212081,49042.56,81970,289,936
8,Window whole voice will.,West Reginafurt,2025-03-31 21:29:01.546435,37553.82,20139,206,390
9,Pull miss traditional.,Randyview,2025-12-14 22:34:07.733545,45492.93,380,309,2019
10,Pretty difference campaign.,Port Melissaton,2024-12-14 00:16:28.927699,11633.41,19060,110,812
11,Room TV.,North Mariafurt,2024-06-07 22:06:30.165680,47637.64,46498,160,3057
12,Plan wonder.,Howardtown,2024-05-15 23:45:35.109064,14074.62,18597,478,1013
13,Tv skin.,New Curtis,2025-05-24 03:30:16.961909,37749.73,67,215,2188
14,Section amount do.,North Williamview,2025-05-11 01:56:45.707102,61265.83,62640,429,2487
15,Election despite market.,Herringborough,2024-06-18 02:18:16.816813,70952.93,56349,338,1612
16,Perhaps service.,Aliciaborough,2024-09-01 20:55:39.609949,73079.85,76333,320,1598
17,White from.,Wendyside,2025-07-12 20:46:26.697278,84601.2,74638,391,1609
18,Series development.,Carolynbury,2025-02-03 19:26:49.121772,81050.1,92881,40,1217
19,We guess television scene.,South Mark,2024-05-22 10:59:43.297701,1923.25,81193,72,3249
20,Common staff democratic.,Mooreborough,2025-10-16 18:30:33.420469,70120.51,12655,109,2925
21,Particularly approach.,North Sherri,2026-05-02 06:10:12.113377,45934.33,34234,22,2237
22,Last total stop.,Lake Paige,2024-10-04 20:46:13.538471,15984.3,1884,63,3434
23,Bad floor show.,East Katherine,2024-08-11 07:15:14.358560,64565.67,50726,293,2728
24,Research third Congress.,North Heatherchester,2024-12-19 18:52:20.903088,82442.48,90695,77,780
25,Represent professor happy happy.,Palmerview,2025-11-01 02:15:46.114787,81538.69,68213,233,2498
26,Land individual.,Mitchellside,2025-06-19 15:22:20.425283,2710.72,58312,268,3839
27,Character exactly.,Sanchezberg,2024-08-09 07:04:49.976432,83736.86,21728,469,1222
28,Power measure nation.,North Garymouth,2025-11-20 01:01:31.482827,68063.85,9138,264,3775
29,Stock upon improve.,Davenportton,2025-04-18 15:39:34.361972,21040.3,89458,66,1938
30,Century difference teach.,Millerville,2025-03-12 03:19:43.081146,96288.2,44714,438,3346
31,Simply likely.,Snydertown,2024-05-25 19:20:06.008031,71489.69,3911,270,56
