suivi,suiveur
445,2204
1877,1690
3207,981
1949,3338
632,3276
2498,1670
2638,2908
2082,1918
2505,216
2820,2756
1626,776
2476,1275
2273,360
1948,549
3669,1214
2304,3205
3494,2085
2602,563
297,2429
98,1971
45,640
2093,774
2489,2871
2969,2473
92,2410
3294,1922
1016,1976
298,402
3706,1133
3039,3688
3176,1261
2553,159
1343,2174
3584,2871
194,204
2150,243
2815,554
1081,2557
863,1097
2302,2374
2122,3994
2823,1374
3667,1878
3729,2996
1932,2381
416,861
2378,2831
2183,2114
372,737
1118,3947
3702,976
2667,122
51,1713
239,315
1641,1610
2435,574
1057,1336
2645,3341
2293,2283
735,1565
90,2038
1084,3877
3692,1085
3001,907
2212,3989
518,2782
3843,1792
109,723
284,1189
3589,95
2613,1272
2299,2557
3950,338
3588,2053
1107,2333
1535,1460
915,2812
3484,3206
213,290
2880,2805
996,3215
1763,1358
975,886
2374,3260
3707,499
447,378
3891,2807
2091,1308
819,614
643,2821
2497,3780
3556,2496
1514,619
3263,1279
1358,3700
2062,3124
3885,1623
3647,1117
2141,2960
3654,1255
3468,3253
1541,1335
1645,3246
1260,2193
694,1648
1900,623
35,2912
2283,363
2987,2217
293,3856
1239,442
2211,3692
2202,157
2236,2459
3302,2827
3079,1661
1861,276
763,2074
910,1200
1541,1587
3528,1727
2096,2829
1349,189
3521,1454
459,577
761,2468
120,1843
1432,2863
3194,3062
2789,1636
3215,3303
206,223
3489,3218
2664,453
2383,2164
3893,2713
147,1635
2898,1241
1264,3281
3707,2797
2284,2127
3996,1609
1621,2448
1241,516
2399,1769
2571,1088
3345,1726
1423,1479
1929,85
3176,205
2951,2576
3604,756
3725,2066
3647,2804
3042,1598
268,889
1470,3150
3992,2328
3185,2396
1029,273
482,3299
2556,3897
3941,3462
437,1423
3429,3845
1607,276
2746,2040
1174,1966
2368,2902
3219,2295
2522,754
1290,483
1050,2363
860,307
2803,2005
125,977
1969,1786
529,945
2062,200
3980,421
1206,2993
1417,2029
2187,2252
1275,3035
0,1202
145,3741
1036,849
1504,854
3520,2170
1576,1568
1,2528
3110,1088
1761,3489
2200,99
3098,1727
210,2592
2330,1213
2589,2029
3727,1501
2335,1953
3376,22
1747,879
3528,3956
1537,2286
2898,533
1979,192
1482,3359
3037,1829
2462,2784
3527,3510
2182,904
2766,731
3711,2952
2214,2236
3964,892
2990,1625
434,447
3366,107
1071,3034
965,625
2239,637
1658,354
2483,1076
653,1487
2513,1487
2783,70
2541,3888
800,2388
1151,3554
2258,1987
3629,1073
3114,2722
1364,3107
1153,678
2993,3597
2725,1571
3611,3876
604,1243
1375,580
100,3423
1474,14
1674,2864
3266,1626
717,1591
1063,206
3146,2015
3982,2493
1336,3504
1243,2929
694,1142
1038,804
275,3703
2729,3765
1035,2013
1542,35
1916,493
1075,1843
151,1715
2131,1379
806,353
3895,3241
2283,3274
160,3766
439,1950
2117,1470
2458,352
94,3648
1027,2141
2980,1964
2996,1820
1806,2730
2766,223
2987,3673
3305,2325
3571,1789
485,162
1317,2555
2588,2260
1573,736
2522,2393
451,183
2102,2530
3496,1985
2034,503
1478,2810
2114,2453
779,3151
1921,2185
1424,1857
1195,3897
1264,3186
332,3698
2771,1535
3717,1688
738,1458
987,468
102,514
771,645
1761,96
936,2119
3209,290
1810,804
1190,66
1594,3290
2982,3261
2326,1469
2793,275
2292,3254
1727,776
1960,707
3918,3343
1842,3719
431,2970
1746,1885
2367,996
1351,2859
2583,3087
150,954
2244,524
2453,1287
3237,276
47,2561
608,332
1873,2226
2953,382
2099,3738
584,3821
1133,3377
3381,425
3795,2919
3670,437
539,3825
639,305
3463,2888
2590,88
2708,2544
3852,2255
3242,1454
2107,420
3321,2911
1873,1098
2126,3024
2769,741
2479,2005
2775,364
58,1847
3481,2967
3208,1475
1758,1153
2063,2812
1983,3594
1109,2655
1789,3270
336,2234
477,2154
2893,2353
3614,3632
1181,1265
2840,3626
3435,180
2620,695
851,2750
1509,1329
2789,652
915,268
852,494
459,248
3742,2383
2239,2780
3660,1197
1662,743
3796,1433
1834,3410
2326,37
2533,2082
3000,1294
3739,1395
3221,3431
421,399
3419,2341
1907,1410
950,3906
381,2228
3328,470
1040,1593
3266,1850
1068,374
3084,3107
3511,3439
3701,1013
3962,2321
3583,653
2922,1845
950,2767
979,3186
3293,1384
2755,2234
2051,3555
964,3768
3340,2320
1319,3184
2487,328
1444,1431
3576,3867
3059,734
1097,2037
1150,682
159,3053
921,431
791,726
3943,1271
2206,3744
2871,3891
3306,1399
1726,1194
1855,1467
1461,1163
2841,3757
2780,1807
3196,919
2407,3521
210,581
3117,1497
1706,2112
157,430
2055,2211
423,895
2478,3931
1278,594
3106,2120
2656,2800
1647,758
2916,3110
3954,3417
37,141
3824,672
3287,1815
86,2951
3503,515
2562,2083
951,730
2197,3388
3686,662
3298,444
2516,1910
544,332
860,929
3612,3961
3189,1492
3230,84
999,3241
2748,2517
1486,2995
3210,2941
2654,1527
736,3659
1360,3516
2818,642
1194,1265
2567,771
3123,146
293,1883
1973,383
364,3759
2153,1651
1743,2090
1337,2709
3377,1259
3869,1836
3317,2236
730,1674
1252,1225
975,531
608,2498
2647,744
836,3584
751,1467
3961,3467
2525,1756
396,3661
3082,70
741,33
3080,1728
450,2917
505,3501
1837,173
1870,3440
1480,1232
2896,1843
804,671
2110,3824
667,2730
1226,952
3180,2072
3342,1835
3530,3957
2979,1388
1504,1966
633,1736
1479,1127
2115,987
588,643
