ID_Groupe,nom,type_g,createur
0,"Knight, Carlson and Wilson",cinema,2250
1,"Watkins, Martinez and Peck",presse,1761
2,Clark PLC,cinema,401
3,"Jones, Martin and King",festival,25
4,Sellers-Arroyo,cinema,3705
5,Mckee Group,studio,482
6,Hartman Ltd,cinema,2837
7,James Inc,club,710
8,Wong Group,cinema,3923
9,Oneal-Gomez,club,2510
10,Goodwin Group,presse,2332
11,"Taylor, Taylor and Norman",club,358
12,Garza-Smith,cinema,1113
13,Clark-James,studio,1476
14,"Santiago, Moore and Ward",presse,3929
15,Oneill-Atkins,presse,3856
16,"Coleman, Gregory and Schmitt",festival,55
17,Moore-Riley,club,3358
18,"Flowers, Smith and Hammond",cinema,2344
19,"Johnson, Wilson and Washington",club,913
20,"Reid, Dominguez and Roberts",festival,1016
21,Martin-Long,presse,3204
22,"Stewart, Lloyd and Bailey",studio,3950
23,"Adams, Sherman and Wang",studio,3968
24,"Sanchez, Mclaughlin and Lee",studio,628
25,Moore Ltd,cinema,3930
26,"Meyer, Harvey and Johnson",studio,2175
27,"Huber, Mcknight and Cook",festival,2132
28,Hall Inc,festival,2225
29,Hughes-Jackson,presse,3114
30,Johnson PLC,studio,2207
31,Huff PLC,studio,2183
32,"Ward, Pearson and Deleon",studio,631
33,Rich PLC,cinema,2602
34,Villegas-Hernandez,studio,1017
35,"Nelson, Garcia and Mendez",studio,2021
36,Clark Group,festival,895
37,Ford-Obrien,club,909
38,Martinez Inc,studio,1536
39,Flores LLC,club,332
40,Medina Ltd,presse,3192
41,Brown-Carpenter,presse,1396
42,Day-Neal,festival,3665
43,Ryan-Hensley,cinema,407
44,"Navarro, Brown and Roberts",festival,437
45,Lopez Group,club,2131
46,Smith and Sons,presse,3692
47,Ritter PLC,presse,3057
48,Adkins Ltd,studio,12
49,Garcia and Sons,presse,1749
50,Fuentes Inc,festival,1671
51,Stephens Group,cinema,3912
52,Keller Inc,club,686
53,"Smith, Grant and Cervantes",club,2275
54,Owens-Williams,presse,3620
55,Campbell PLC,festival,1236
56,Fuller-Williams,presse,1239
57,"Bishop, Brooks and Mejia",studio,2226
58,Miller Ltd,cinema,2165
59,Fuller and Sons,studio,3909
60,"Hall, Olson and Gonzalez",club,478
61,Jennings and Sons,cinema,2057
62,Terry-Lopez,cinema,2980
63,Perez Group,cinema,2728
64,"Stephens, Edwards and Walker",presse,3182
65,Huber-Parker,cinema,1703
66,Miles PLC,festival,3608
67,"Griffin, Gonzales and Pena",studio,3645
68,Reed-Pruitt,club,2868
69,Sharp Group,studio,2745
70,Williams and Sons,cinema,983
71,Quinn-Snow,studio,1216
72,Werner and Sons,presse,2484
73,Sellers-Medina,club,325
74,Williams-Garner,festival,1009
75,Ramos-Powers,club,3928
76,"Campos, Clark and Drake",festival,2912
77,Griffith Ltd,presse,255
78,Lewis-West,cinema,1201
79,Perkins and Sons,studio,1772
80,"Benson, Johnson and Hill",festival,349
81,Patterson-Robinson,cinema,1901
82,Gonzales Ltd,studio,3909
83,Phillips Inc,cinema,3857
84,Montes-Byrd,festival,3526
85,Fritz and Sons,club,2479
86,Thompson PLC,cinema,741
87,"Berg, Stevens and Lane",presse,1744
88,Turner Ltd,festival,71
89,"Turner, Calderon and Stafford",cinema,144
90,Sexton-Pitts,studio,3952
91,"Burns, Wright and Roberts",studio,3235
92,Jones-Fernandez,presse,3859
93,Thompson Ltd,presse,1867
94,Wood and Sons,presse,1429
95,Johnson LLC,presse,1462
96,Murphy-Colon,club,1687
97,Martin and Sons,cinema,1361
98,Gregory Group,club,382
99,Charles LLC,festival,773
100,Wolfe and Sons,cinema,3272
101,Miller and Sons,festival,3099
102,"Sanders, Nolan and Fuller",studio,796
103,Garcia and Sons,cinema,3482
104,Smith LLC,studio,3436
105,"Reyes, Chambers and Lee",presse,3981
106,Moore PLC,cinema,551
107,Greene PLC,club,3507
108,"Smith, Wilson and Graham",cinema,2467
109,"Ramirez, Mora and Ritter",presse,601
110,Brady PLC,club,1207
111,"Jordan, Farley and Rios",presse,836
112,"George, Torres and Kim",studio,1823
113,Nelson Ltd,cinema,3899
114,Deleon and Sons,club,2426
115,"Wilson, Diaz and Simpson",cinema,3219
116,Kramer-Liu,club,730
117,"Rubio, Delgado and Haas",studio,963
118,Contreras-Davis,presse,67
119,Davis and Sons,studio,3605
