utilisateur,sujet,date_h
373,ScreenplayBook,2023-08-07 21:11:41.083805
3743,Documentary,2024-01-12 01:56:55.667676
2024,DCComics,2023-11-08 05:08:11.860234
2492,Family,2023-07-07 05:49:31.085133
2099,RedBandTrailer,2023-10-22 04:49:15.086424
1441,Tilt,2023-07-06 14:54:35.908242
2311,RedBandTrailer,2023-07-17 21:35:16.895382
326,Superhero,2024-03-09 23:16:35.215737
2084,RedBandTrailer,2023-09-20 13:43:55.545165
1780,Reception,2023-08-08 07:28:57.943880
2197,FilmCriticism,2023-12-16 01:27:24.098572
783,Disney,2024-02-24 14:59:22.986452
3278,Biopic,2023-09-10 00:55:59.198811
1233,Exhibition,2023-06-13 00:46:42.174520
3036,Producer,2023-06-20 17:02:43.087451
691,Remake,2023-11-30 17:30:40.159929
3982,StaticShot,2024-04-24 02:34:49.191181
3489,Remake,2023-08-12 14:50:24.317675
1326,5.1,2023-10-13 03:50:24.598311
603,TeaserPoster,2023-11-20 14:45:43.864511
2550,Demonstration,2023-06-10 06:06:11.868055
2976,FilmFestival,2023-10-18 19:44:17.121822
3963,BluRay,2024-01-25 08:33:21.151293
2776,Spot,2024-01-08 13:42:52.624527
1112,Reboot,2023-06-25 19:27:37.690726
3713,ProductPlacement,2023-11-04 05:39:00.912335
702,ConceptArt,2024-04-16 14:44:07.996122
3284,Superhero,2023-10-09 21:47:27.594110
1969,NonDiegeticSound,2023-12-28 09:45:38.139239
200,Clip,2023-05-21 03:11:37.211636
145,Preview,2024-03-28 10:20:33.770993
2169,CostumeDesign,2023-09-08 06:13:01.373037
1622,MakeupArtist,2024-02-23 03:24:38.381819
1419,Crane,2023-06-08 06:06:04.886500
135,Mystery,2024-05-05 00:42:02.678483
1413,Looping,2024-01-07 11:30:03.289915
3295,BoxOffice,2024-03-16 04:34:36.645290
497,Stereo,2023-06-27 11:00:32.243572
2120,Thriller,2023-11-16 13:51:44.555161
3704,CostumeDesignBook,2024-03-10 09:36:47.524153
3156,BruceWillis,2024-02-19 03:03:23.328604
2763,TeaserPoster,2023-08-27 21:43:28.655535
724,Dialogue,2023-12-23 23:13:56.990824
423,Tilt,2024-02-26 18:52:58.545969
1177,CinemaScope,2023-10-16 10:39:14.275316
3339,Score,2023-08-30 02:04:05.508336
3893,Sequel,2024-02-20 08:44:40.074703
2795,Seminar,2024-01-08 01:58:27.567464
1140,Teaser,2023-07-22 06:14:35.613253
13,MovieReview,2023-12-16 13:34:14.762306
155,Actress,2023-09-09 19:15:50.965955
2480,InternationalTrailer,2023-11-27 13:00:52.884762
948,Dolly,2023-11-16 15:04:22.253017
2417,FilmStyle,2024-02-03 10:31:02.374434
3966,VisualEffects,2023-09-30 19:21:35.167624
3069,CostumeDesign,2023-06-23 06:09:45.751894
1793,Spinoff,2024-01-21 20:41:01.598400
3172,Zoom,2023-09-05 23:50:33.919871
2411,FilmGenre,2024-01-13 09:00:07.799471
1902,FilmStyle,2024-02-28 08:35:14.871547
2071,JamesBond,2023-11-09 07:25:51.581543
3095,Indie,2024-01-17 12:00:52.702937
196,FilmNoir,2024-01-04 10:26:31.224333
2230,CostumeDesignBook,2024-02-22 10:06:01.317038
3024,ActionPoster,2023-08-12 19:27:51.287730
2963,Marvel,2023-11-30 01:40:13.671944
483,Interview,2024-05-02 19:24:37.759013
2284,Frame,2023-07-19 05:33:29.957029
2874,CharacterPoster,2023-05-29 12:41:33.103102
1795,ExecutiveProducer,2023-06-01 15:56:04.539701
2326,FilmAnalysis,2024-04-08 19:31:31.910873
1407,SilentFilm,2023-12-06 11:08:01.936919
324,Sport,2024-02-01 23:37:13.422891
1318,Launch,2023-06-11 07:30:44.694667
1115,FilmScore,2023-09-30 01:50:01.526391
1311,ForeignFilm,2023-07-02 09:39:18.161514
3268,SurroundSound,2023-11-09 13:33:23.483011
3200,PressJunket,2024-01-16 08:44:23.474950
3303,Gathering,2024-01-05 09:18:39.690356
3618,MidnightScreening,2023-10-13 14:14:04.683367
3275,Producer,2023-08-17 00:13:50.518332
3742,SoundEffect,2024-01-05 22:54:18.956935
2768,Blockbuster,2024-04-22 02:33:45.541590
3194,FadeOut,2024-05-07 04:05:34.083850
613,OpeningNight,2023-10-12 18:40:22.053453
363,Festival,2023-06-07 23:53:06.367342
2118,Adaptation,2024-05-06 23:09:09.756955
2099,Debate,2024-03-06 19:50:32.301969
1744,FilmStyle,2023-12-05 19:02:48.826872
691,CinemaScope,2023-12-20 19:08:37.716867
3157,ActionFigures,2024-02-21 22:14:48.189916
710,Screenplay,2024-03-09 13:12:07.242887
3052,FilmStructure,2023-11-27 21:33:55.418911
3237,TheatericalTrailer,2023-06-04 20:23:18.256335
1102,TeaserPoster,2023-12-31 17:10:43.952401
3196,StaticShot,2023-08-24 03:46:15.686175
2011,Cinematography,2023-10-12 15:36:17.185580
3210,Sequence,2023-06-11 10:33:01.042232
3087,Thriller,2024-04-04 18:51:34.774927
3285,Premiere,2024-01-30 06:40:27.141730
374,Workshop,2023-11-13 02:16:50.515594
1898,Looping,2023-12-18 14:25:10.491769
760,FilmStyle,2023-10-27 19:39:05.218884
1951,FilmStructure,2024-02-06 08:42:28.463108
2519,FilmSchool,2024-04-24 06:17:03.803511
1640,GreenBandTrailer,2023-07-08 03:53:08.278469
3809,TheatericalTrailer,2023-07-01 14:09:12.836024
2451,BruceWillis,2024-03-02 21:33:49.900997
843,Take,2023-09-08 21:30:36.757055
415,Spot,2023-10-22 08:07:18.498395
3399,TeaserTrailer,2024-02-26 15:58:39.753901
1333,Workshop,2023-08-23 18:51:06.989367
2099,TieIn,2023-11-13 14:02:17.407431
2286,SetDecoration,2024-02-20 08:50:41.162900
2972,InternetAd,2023-10-14 00:25:58.388026
2968,TieIn,2023-12-08 03:03:05.288464
2427,Flashback,2023-05-25 12:23:11.896112
2061,Cannes,2023-12-01 02:13:50.360632
2134,Retrospective,2023-12-05 06:53:28.496679
1366,Screening,2023-10-05 09:33:00.298449
3113,MakingOf,2023-09-14 11:16:58.281505
796,FilmEditing,2024-04-25 01:53:16.513336
3924,Looping,2023-12-30 00:37:23.337178
3618,FilmClub,2024-02-09 10:16:11.760724
2642,SneakPeek,2023-05-26 10:55:51.244574
2042,Exhibition,2023-09-20 12:28:13.624380
346,Blockbuster,2024-02-10 09:02:32.357679
2004,Romance,2024-04-04 16:50:19.549666
1995,FadeIn,2024-03-29 21:10:36.723950
964,MatchCut,2024-02-15 02:12:50.197263
834,TeaserPoster,2024-03-17 21:13:04.885636
955,Homage,2023-11-28 07:59:13.768706
3309,Tilt,2023-05-16 02:33:46.573208
756,Pixar,2023-11-28 01:43:01.273007
3847,Argument,2024-01-05 23:05:11.053169
582,Forum,2023-09-22 01:44:18.414205
3914,Spielberg,2023-09-10 05:22:20.813013
697,MovieTheater,2024-02-19 21:06:47.571826
3593,FilmSemiotics,2024-04-05 05:46:53.417796
1531,SoundMixing,2023-05-22 04:57:01.226580
1719,Family,2023-12-06 16:34:56.444427
3286,FilmHistory,2024-04-17 23:09:22.244704
334,Interview,2024-02-26 09:55:23.663589
3862,MatchCut,2023-10-18 11:51:41.012804
1097,Handheld,2023-05-23 06:42:12.948629
3393,History,2024-03-11 20:08:31.884249
1714,CostumeDesign,2024-05-02 19:07:57.916448
3657,Shot,2024-02-18 11:20:13.912502
1330,ClassicFilm,2024-01-09 19:08:34.540468
2436,Cinematography,2023-11-03 06:39:33.785184
956,Insert,2024-02-29 22:39:56.199696
983,Discussion,2023-10-01 08:38:24.107419
1965,FilmLanguage,2023-08-27 07:26:56.176878
3441,Narration,2023-12-19 23:52:16.627771
3136,Family,2023-07-27 00:18:15.709277
521,BoardGame,2023-06-21 16:25:02.882035
2076,Lecture,2023-05-24 12:37:14.564743
3259,ScoreAlbum,2024-01-14 02:46:52.478726
3030,CeremonieCesar2020,2023-09-07 22:42:40.893173
2809,Preview,2023-10-04 18:08:47.117171
1472,Casting,2023-11-02 08:37:52.568347
64,OfficialGuide,2024-02-01 08:15:07.493123
477,Q&A,2023-07-29 20:00:57.938062
3476,Wardrobe,2024-04-17 12:25:08.006186
1074,RedBandTrailer,2024-04-09 08:09:53.485277
2278,CGI,2024-03-07 02:02:59.005465
3022,MovieMagic,2024-02-12 17:00:52.597276
3750,Rehearsal,2023-09-17 19:03:42.253434
1969,5.1,2023-06-26 16:55:06.487468
613,Roundtable,2023-09-14 18:16:24.906551
1156,FilmSemiotics,2023-12-24 03:48:56.593121
1507,HairStyling,2024-02-24 17:04:50.145147
1973,7.1,2023-08-17 04:16:44.390675
3084,FilmGenre,2023-09-11 22:12:39.523874
2906,BusStopPoster,2023-08-09 04:26:28.469504
758,BoxOffice,2023-11-12 16:59:57.262399
282,Merchandising,2023-07-23 14:06:06.823039
2530,Interview,2023-07-20 11:34:24.918244
3405,Symposium,2023-09-01 19:32:16.164048
2075,GuerrillaMarketing,2023-05-17 11:01:22.598649
2640,ProductionDesignBook,2023-10-13 21:23:08.871996
1249,DolbyAtmos,2023-09-23 21:04:36.588300
1684,Novelization,2024-03-05 10:09:16.778086
1725,OpeningNight,2024-04-20 15:13:18.695326
2745,FilmStyle,2023-07-05 02:48:52.470816
3746,FilmSemiotics,2023-09-13 13:35:17.681010
1864,Novelization,2023-05-27 03:21:11.285996
1657,Action,2024-02-27 10:37:10.177474
2529,TeaserPoster,2024-03-25 07:52:45.605394
83,Preview,2024-04-08 16:28:01.894334
627,Dubbing,2024-04-22 03:52:51.041334
3931,WrapParty,2023-12-22 16:34:56.616161
