ID_Utilisateur,ID_Publication,ID_Emoji
3903,250,39
933,374,20
108,356,99
141,213,94
1004,355,91
2427,407,38
1281,80,84
3029,191,92
824,136,50
185,42,39
329,252,60
605,236,96
1367,256,47
2643,26,10
644,141,1
2270,220,36
370,322,60
2315,460,49
934,175,87
2536,202,58
1383,356,53
3520,487,57
1416,441,67
1977,434,51
2391,159,21
971,71,64
754,497,3
3588,258,67
2253,468,87
3124,207,4
3075,483,66
300,259,1
131,440,68
3511,348,31
434,292,3
1390,2,64
3006,77,78
3125,265,3
1443,411,30
2529,380,0
1622,432,95
245,399,75
1691,250,60
251,116,57
1432,68,26
1113,131,92
3378,393,46
2281,453,83
2967,385,61
3971,306,6
1420,206,85
3737,100,90
2958,76,12
3079,222,74
2693,313,81
438,75,88
1369,237,12
833,344,35
2481,200,31
364,252,8
826,195,67
1880,374,76
1062,220,34
2195,201,98
1244,362,90
3931,380,25
430,330,93
1349,206,78
1055,119,40
231,486,80
362,135,61
3099,378,36
2926,445,19
2386,476,3
1425,373,93
885,305,50
3960,257,15
1467,402,61
653,270,7
3107,278,35
3519,51,40
2519,236,94
1523,61,34
178,219,73
113,417,32
2170,29,60
580,431,30
2431,457,93
1491,2,54
3186,281,51
2337,209,95
515,387,10
2752,478,41
3121,80,48
3046,35,14
1686,57,49
1535,274,87
2817,215,58
2032,106,1
3359,456,51
1845,291,41
2485,115,88
3576,483,72
2228,129,77
764,133,70
148,128,45
1779,234,56
2046,256,83
38,230,91
1276,347,38
1850,448,52
3662,362,12
3700,177,66
373,97,57
3743,109,13
3667,39,34
3101,345,3
127,359,94
3381,286,92
266,305,97
2495,87,93
2537,481,85
2005,425,37
1420,47,27
1554,44,58
2407,319,68
3007,499,79
2976,8,41
1884,338,67
3545,155,37
3723,281,3
339,171,51
3902,247,56
1387,353,38
3598,17,5
2398,434,94
2442,435,18
3741,433,83
2090,355,10
1150,196,86
2189,270,50
275,338,64
642,288,56
929,377,76
330,100,58
3782,270,72
970,494,36
1878,264,44
2558,489,12
886,59,78
